"tei_chapter_id"	"tei_section_id"	"tei_paragraph_id"	"sentence_id"	"phrase_id"	"word"	"part_of_speech"	"accent"	"phoneme"	"stress"	"tone"	"break_index"	"symbol1"	"symbol2"	"symbol3"	"symbol4"	"symbol5"	"symbol6"	"symbol7"	"symbol8"	"symbol9"	"symbol10"	"symbol11"	"symbol12"	"symbol13"	"symbol14"	"actualClass"	"probability1"	"probability2"	"probability3"	"probability4"	"probability5"	"probability6"	"probability7"	"probability8"					
1	1	1	1	1	"One"	"CD"	"NULL"	"w"	"V"	"n"	1	"H-L%"	4	25	6	29	61	62	3	3	0	61	8	3	729	188	187	6	0.034244	0.005369	0.097061	0.054176	0.230294	0.433385	0.006821	0.138649			
1	1	1	1	1	"was"	"VBD"	"L+H*"	"w"	"A"	"z"	1	"H-L%"	4	6	29	61	62	3	3	0	61	8	3	729	188	187	25	6	0.035739	0.004633	0.232737	0.062291	0.15929	0.380674	0.005676	0.11896			
1	1	1	1	1	"quite"	"RB"	"NULL"	"k"	"w"	"AI"	"t"	1	"H-L%"	4	29	61	62	3	3	0	61	8	3	729	188	187	25	188	6	0.043554	0.006544	0.15052	0.066166	0.151507	0.441088	0.006275	0.134346		
1	1	1	1	1	"certain"	"JJ"	"L+H*"	"s"	"r="	1	"H-L%"	4	61	62	3	3	0	61	8	3	729	188	187	25	188	187	6	0.044955	0.006527	0.149801	0.068013	0.151686	0.438555	0.006336	0.134127				
1	1	1	1	1	"certain"	"JJ"	"L+H*"	"t"	"@"	"n"	0	"H-L%"	4	62	3	3	0	61	8	3	729	188	187	25	188	187	188	6	0.051579	0.006576	0.15088	0.064667	0.144163	0.440184	0.006319	0.135632			
1	1	1	1	1	"that"	"IN"	"NULL"	"D"	"{"	"t"	1	"H-L%"	4	3	3	0	61	8	3	729	188	187	25	188	187	188	187	6	0.061136	0.007846	0.160769	0.092922	0.161113	0.346248	0.007507	0.162459			
1	1	1	1	1	"for"	"IN"	"NULL"	"f"	"O"	"r"	1	"H-L%"	4	3	0	61	8	3	729	188	187	25	188	187	188	187	26	6	0.064037	0.010142	0.140309	0.063681	0.171863	0.341066	0.009616	0.199286			
1	1	1	1	1	"a"	"DT"	"NULL"	"@"	0	"H-L%"	4	0	61	8	3	729	188	187	25	188	187	188	187	26	6	6	0.072809	0.044052	0.093811	0.077899	0.208848	0.037893	0.383016	0.081672					
1	1	1	1	1	"long"	"JJ"	"L+H*"	"l"	"O"	"N"	1	"H-L%"	4	61	8	3	729	188	187	25	188	187	188	187	26	6	399	6	0.094254	0.055153	0.121152	0.099694	0.267681	0.048436	0.173483	0.140146			
1	1	1	1	1	"part"	"NN"	"L+H*"	"p"	"A"	"r"	"t"	1	"H-L%"	4	8	3	729	188	187	25	188	187	188	187	26	6	399	188	6	0.120737	0.058524	0.103448	0.088736	0.234137	0.056559	0.185664	0.152195		
1	1	1	1	1	"of"	"IN"	"NULL"	"V"	"v"	1	"H-L%"	4	3	729	188	187	25	188	187	188	187	26	6	399	188	187	6	0.063578	0.053847	0.059108	0.044159	0.291754	0.05767	0.342061	0.087824				
1	1	1	1	1	"his"	"PRP$"	"NULL"	"h"	"I"	"z"	1	"H-L%"	4	729	188	187	25	188	187	188	187	26	6	399	188	187	7	6	0.028191	0.07628	0.037162	0.032219	0.644796	0.04772	0.096567	0.037064			
1	1	1	1	1	"being"	"VBG"	"L+H*"	"b"	"i"	1	"H-L%"	4	188	187	25	188	187	188	187	26	6	399	188	187	7	28	6	0.005997	0.086391	0.009267	0.007546	0.828086	0.015841	0.039321	0.007551				
1	1	1	1	1	"being"	"VBG"	"L+H*"	"I"	"N"	0	"H-L%"	4	187	25	188	187	188	187	26	6	399	188	187	7	28	61	6	0.005414	0.085093	0.010631	0.006514	0.808596	0.041461	0.035453	0.006838				
1	1	1	1	1	"one"	"CD"	"NULL"	"w"	"V"	"n"	1	"H-L%"	4	25	188	187	188	187	26	6	399	188	187	7	28	61	62	6	0.008071	0.03501	0.008841	0.007201	0.846881	0.023984	0.063319	0.006693			
1	1	1	1	1	"being"	"VBG"	"L+H*"	"b"	"i"	1	"H-L%"	4	188	187	188	187	26	6	399	188	187	7	28	61	62	3	6	0.006986	0.02148	0.00791	0.006455	0.864953	0.015908	0.070899	0.005409				
1	1	1	1	1	"being"	"VBG"	"L+H*"	"I"	"N"	0	"H-L%"	4	187	188	187	26	6	399	188	187	7	28	61	62	3	26	6	0.006317	0.02517	0.007437	0.005828	0.876032	0.014834	0.059935	0.004446				
1	1	1	1	1	"living"	"VBG"	"L+H*"	"l"	"I"	1	"H-L%"	4	188	187	26	6	399	188	187	7	28	61	62	3	26	6	6	0.008312	0.06511	0.008759	0.007431	0.581122	0.015314	0.309215	0.004737				
1	1	1	1	1	"living"	"VBG"	"L+H*"	"v"	"I"	"N"	0	"H-L%"	4	187	26	6	399	188	187	7	28	61	62	3	26	6	61	6	0.009474	0.097257	0.009936	0.009566	0.549328	0.016248	0.302466	0.005724			
1	1	1	1	1	"he"	"PRP"	"NULL"	"h"	"i"	1	"H-L%"	4	26	6	399	188	187	7	28	61	62	3	26	6	61	3	6	0.012246	0.094521	0.008777	0.009183	0.539581	0.014536	0.315668	0.00549				
1	1	1	1	1	"had"	"VBD"	"L+H*"	"h"	"{"	"d"	1	"H-L%"	4	6	399	188	187	7	28	61	62	3	26	6	61	3	188	6	0.052415	0.157549	0.01746	0.01983	0.418979	0.025377	0.29851	0.009881			
