DATA	tableName	tei_paragraph_id	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index	1h4	1h6	2h6	3h6	he8
DATA	1h6	-1	1	1	Hung	NNP	H*	h V N	1	H-L%	4	0.0	0.0	0.0	0.0	0.0
DATA	1h6	-1	1	1	be	VB	H*	b i	1	H-L%	4	0.0	0.0	0.0	0.0	0.0
DATA	1h6	-1	1	1	the	DT	null	D @	0	H-L%	4	0.0	0.0	0.0	0.0	0.0
DATA	1h6	-1	1	1	heavens	NNS	H*	h E	1	H-L%	4	0.0	0.0	0.0	0.0	0.0
DATA	1h6	-1	1	1	heavens	NNS	H*	v @ n z	0	H-L%	4	0.1991260069936016	0.0	0.3561997863368618	0.19152732052244756	0.25314688614708913
DATA	1h6	-1	1	1	with	IN	null	w I D	1	H-L%	4	0.19752543487599006	0.0	0.3670741828567792	0.16349113302872045	0.2719092492385104
DATA	1h6	-1	1	1	black	JJ	H*	b l { k	1	H-L%	4	0.16278412474190876	0.0	0.3986559387521146	0.14539192163801806	0.29316801486795846
DATA	1h6	-1	1	1	,	,	null	null	null	H-L%	4	0.20937794007606425	0.0	0.39732760090257563	0.21745142292648403	0.17584303609487617
DATA	1h6	-1	1	2	yield	VB	H*	j i l d	1	L-L%	5	0.1323309534763566	0.0	0.5375329191742366	0.2439716306540587	0.08616449669534805
DATA	1h6	-1	1	2	day	NN	H*	d EI	1	L-L%	5	0.14071733857231128	0.0	0.5042089354637154	0.27417843357399874	0.08089529238997456
DATA	1h6	-1	1	2	to	TO	null	t u	1	L-L%	5	0.18564564427606975	0.0	0.521526570386773	0.20646279032666293	0.0863649950104941
DATA	1h6	-1	1	2	night	NN	H*	n AI t	1	L-L%	5	0.13887885085680715	0.0	0.5769715643591138	0.21370184393747513	0.07044774084660395
DATA	1h6	-1	1	2	!	.	null	null	null	L-L%	5	0.06391048887607999	0.0	0.10216496641114985	0.800359314555375	0.033565230157395175
DATA	1h6	-1	2	1	Comets	NNS	H*	k A	1	H-L%	4	0.06939087914873315	0.0	0.15981011729185896	0.657488486016755	0.11331051754265292
DATA	1h6	-1	2	1	Comets	NNS	H*	m @ t s	0	H-L%	4	0.15519720155403832	0.0	0.1561334044746096	0.5955103240963979	0.09315906987495408
DATA	1h6	-1	2	1	,	,	null	null	null	H-L%	4	0.26709973120303865	0.0	0.22216564380745338	0.4246690271059334	0.08606559788357451
DATA	1h6	-1	2	2	importing	VBG	H*	I m	0	H-L%	4	0.19086497128639748	0.0	0.3941093265789163	0.27757785347685876	0.1374478486578275
DATA	1h6	-1	2	2	importing	VBG	H*	p O r	1	H-L%	4	0.2580502143107946	0.0	0.3193203640438003	0.2695840302519568	0.15304539139344822
DATA	1h6	-1	2	2	importing	VBG	H*	t I N	0	H-L%	4	0.4457948137033056	0.0	0.15138347193750556	0.26621235470883386	0.13660935965035495
DATA	1h6	-1	2	2	change	NN	H*	tS EI n dZ	1	H-L%	4	0.304498199375465	0.0	0.2126645864990569	0.2939255640952543	0.18891165003022378
DATA	1h6	-1	2	2	of	IN	null	V v	1	H-L%	4	0.2792999246213707	0.0	0.2069564776644705	0.2664711594337239	0.24727243828043488
DATA	1h6	-1	2	2	times	NNS	H*	t AI m z	1	H-L%	4	0.2650866791563348	0.0	0.19237688707181472	0.1875979079740399	0.3549385257978106
DATA	1h6	-1	2	2	and	CC	null	{ n d	1	H-L%	4	0.25635758823929455	0.0	0.2300015943762837	0.2952932326389713	0.2183475847454505
DATA	1h6	-1	2	2	states	NNS	H*	s	0	H-L%	4	0.23440537182700485	0.0	0.28613426910038986	0.28257732410050046	0.1968830349721048
DATA	1h6	-1	2	2	states	NNS	H*	t EI t s	1	H-L%	4	0.18928485538213555	0.0	0.48105111076349677	0.18721055071688528	0.1424534831374823
DATA	1h6	-1	2	2	,	,	null	null	null	H-L%	4	0.17042659040048228	0.0	0.3763252186619299	0.25754636958074073	0.1957018213568471
DATA	1h6	-1	2	3	Brandish	JJ	H*	b r { n	1	H-L%	4	0.15994917524222657	0.0	0.29357111612715664	0.37060100276558083	0.17587870586503604
DATA	1h6	-1	2	3	Brandish	JJ	H*	d I S	0	H-L%	4	0.17073863679078222	0.0	0.20089571183854726	0.43405803700223766	0.19430761436843297
DATA	1h6	-1	2	3	your	PRP$	null	j O r	1	H-L%	4	0.16138553512257958	0.0	0.342235108454675	0.30287139272134445	0.1935079637014011
DATA	1h6	-1	2	3	crystal	NN	H*	k r I s	1	H-L%	4	0.2005183178994029	0.0	0.29383049996850097	0.22546766830955098	0.28018351382254514
DATA	1h6	-1	2	3	crystal	NN	H*	t @ l	0	H-L%	4	0.2716715467547406	0.0	0.27318551577402156	0.20875173357313304	0.24639120389810484
DATA	1h6	-1	2	3	tresses	NNS	H*	t r E	1	H-L%	4	0.24217843257478433	0.0	0.28484410319898484	0.23303423357068373	0.23994323065554707
DATA	1h6	-1	2	3	tresses	NNS	H*	s I z	0	H-L%	4	0.430133614137252	0.0	0.1600343244239903	0.2989082631824167	0.110923798256341
DATA	1h6	-1	2	3	in	IN	null	I n	1	H-L%	4	0.6543359588067328	0.0	0.10906891352932187	0.165513823674	0.07108130398994547
DATA	1h6	-1	2	3	the	DT	null	D @	0	H-L%	4	0.4332696633741381	0.0	0.28186383005855536	0.20987726300806578	0.07498924355924076
DATA	1h6	-1	2	3	sky	NN	H*	s	0	H-L%	4	0.20787675060469482	0.0	0.46891782838350604	0.2225691534288599	0.10063626758293938
DATA	1h6	-1	2	3	sky	NN	H*	k AI	1	H-L%	4	0.19463761643789018	0.0	0.5877580190491232	0.14354236220660058	0.07406200230638604
DATA	1h6	-1	2	3	,	,	null	null	null	H-L%	4	0.1734137886092275	0.0	0.6417572407704756	0.12511433747141731	0.05971463314887963
DATA	1h6	-1	2	4	And	CC	null	{ n d	1	L-L%	5	0.31777878204371973	0.0	0.41842433249219857	0.18622800394247802	0.07756888152160359
DATA	1h6	-1	2	4	with	IN	null	w I D	1	L-L%	5	0.17178302475765617	0.0	0.3361560301946039	0.33779722608465557	0.15426371896308438
DATA	1h6	-1	2	4	them	PRP	null	D E m	1	L-L%	5	0.24507432512686833	0.0	0.27660717468003976	0.1688113067716405	0.3095071934214514
DATA	1h6	-1	2	4	scourge	VB	H*	s	0	L-L%	5	0.21464615031369855	0.0	0.24816605160286953	0.24324597682864382	0.2939418212547882
DATA	1h6	-1	2	4	scourge	VB	H*	k r= dZ	1	L-L%	5	0.16509690310894456	0.0	0.28112618746212836	0.24289271323333464	0.31088419619559243
DATA	1h6	-1	2	4	the	DT	null	D @	0	L-L%	5	0.26976179075389306	0.0	0.30828084188949	0.2725894897121108	0.14936787764450604
DATA	1h6	-1	2	4	bad	JJ	H*	b { d	1	L-L%	5	0.27120788190848893	0.0	0.3022357403503373	0.3764305258399415	0.0501258519012323
DATA	1h6	-1	2	4	revolting	NN	H*	r i	0	L-L%	5	0.5120398206184187	0.0	0.3271926535121112	0.1389176189170552	0.02184990695241505
DATA	1h6	-1	2	4	revolting	NN	H*	v @U l	1	L-L%	5	0.5252681513049905	0.0	0.29529200818630885	0.13816298797221546	0.04127685253648528
DATA	1h6	-1	2	4	revolting	NN	H*	t I N	0	L-L%	5	0.30379567784727896	0.0	0.342099196953241	0.27906926801647675	0.07503585718300321
DATA	1h6	-1	2	4	stars	NNS	H*	s	0	L-L%	5	0.19418264258109813	0.0	0.512836948611276	0.19835390946747058	0.09462649934015509
DATA	1h6	-1	2	4	stars	NNS	H*	t A r z	1	L-L%	5	0.17213781313541404	0.0	0.6081419802343403	0.15442344110279732	0.06529676552744829
DATA	1h6	-1	2	4	That	WDT	null	D { t	1	L-L%	5	0.14813372857941817	0.0	0.57647668995859	0.24001076105107647	0.03537882041091525
DATA	1h6	-1	2	4	have	VBP	null	h { v	1	L-L%	5	0.10919496117023238	0.0	0.5648436909692787	0.29648160443001254	0.029479743430476376
DATA	1h6	-1	2	4	consented	VBN	H*	k @ n	0	L-L%	5	0.13848644711320407	0.0	0.47436688013182315	0.33125229008167856	0.0558943826732942
DATA	1h6	-1	2	4	consented	VBN	H*	s E n	1	L-L%	5	0.1138240875276779	0.0	0.4687246481171308	0.35730991694294884	0.06014134741224246
DATA	1h6	-1	2	4	consented	VBN	H*	t I d	0	L-L%	5	0.0849352720202038	0.0	0.3848290072354517	0.4810078525184702	0.049227868225874286
DATA	1h6	-1	2	4	unto	IN	null	V n	1	L-L%	5	0.07043637227435046	0.0	0.31034328836184455	0.5470554315392968	0.07216490782450816
DATA	1h6	-1	2	4	unto	IN	null	t u	0	L-L%	5	0.034604372746275314	0.0	0.3422548448190309	0.599246420738477	0.023894361696216608
DATA	1h6	-1	2	4	Henry's	NN	H*	h E n	1	L-L%	5	0.045148599373530614	0.0	0.21228983193165935	0.7348529373656875	0.00770863132912252
DATA	1h6	-1	2	4	Henry's	NN	H*	r i	0	L-L%	5	0.018934956211529876	0.0	0.20566632009263217	0.7710059261641437	0.004392797531694225
DATA	1h6	-1	2	4	Henry's	POS	null	z	0	L-L%	5	0.03856921358069254	0.0	0.1987004783127678	0.7503790168691371	0.012351291237402523
DATA	1h6	-1	2	4	death	NN	H*	d E T	1	L-L%	5	0.091373929067245	0.0	0.503126268300333	0.3731719763898082	0.032327826242613815
DATA	1h6	-1	2	4	!	.	null	null	null	L-L%	5	0.16351098800621808	0.0	0.29858892958976946	0.38760653133996736	0.15029355106404507
DATA	1h6	-1	3	1	King	NNP	H*	k I N	1	H-L%	4	0.16484534504204665	0.0	0.18654236450899683	0.3720835561367641	0.27652873431219244
DATA	1h6	-1	3	1	Henry	NNP	H*	h E n	1	H-L%	4	0.0770006034337256	0.0	0.24601513147306509	0.4955349217532159	0.18144934333999344
DATA	1h6	-1	3	1	Henry	NNP	H*	r i	0	H-L%	4	0.17496142442223453	0.0	0.14877468167116215	0.5232389344318542	0.15302495947474895
DATA	1h6	-1	3	1	the	DT	null	D @	0	H-L%	4	0.32728946197316355	0.0	0.13526073561100435	0.26750765515636693	0.2699421472594651
DATA	1h6	-1	3	1	Fifth	NNP	H*	f I f T	1	H-L%	4	0.15231082426385747	0.0	0.4569312072185682	0.2636482192060993	0.12710974931147503
DATA	1h6	-1	3	1	,	,	null	null	null	H-L%	4	0.10226451518848824	0.0	0.6778472534677829	0.1414486897396865	0.07843954160404246
DATA	1h6	-1	3	2	too	RB	null	t u	1	L-L%	5	0.15489504997715947	0.0	0.5248130769255679	0.20622414065456526	0.11406773244270753
DATA	1h6	-1	3	2	famous	JJ	H*	f EI	1	L-L%	5	0.19347378281938626	0.0	0.6200006092519744	0.10795573124699158	0.07856987668164761
DATA	1h6	-1	3	2	famous	JJ	H*	m @ s	0	L-L%	5	0.22348995667829824	0.0	0.445778092643801	0.18147925192177136	0.14925269875612926
DATA	1h6	-1	3	2	to	TO	null	t u	1	L-L%	5	0.23079365700958882	0.0	0.46435568578192365	0.18172877337442372	0.12312188383406372
DATA	1h6	-1	3	2	live	VB	H*	l AI v	1	L-L%	5	0.23227250112233824	0.0	0.40795556335609917	0.25803967290151975	0.10173226262004294
DATA	1h6	-1	3	2	long	RB	null	l O N	1	L-L%	5	0.2601368811740413	0.0	0.3473741402125616	0.31213540371212173	0.08035357490127526
DATA	1h6	-1	3	2	!	.	null	null	null	L-L%	5	0.23235965095772526	0.0	0.5204188649388596	0.12452314833651267	0.1226983357669025
DATA	1h6	-1	4	1	England	NNP	L+H*	I N	1	L-L%	6	0.3008419343503375	0.0	0.3518161371143776	0.09674598912919967	0.25059593940608516
DATA	1h6	-1	4	1	England	NNP	L+H*	g l @ n d	0	L-L%	6	0.4117669875701118	0.0	0.26622561039355447	0.14469750005048504	0.17730990198584862
DATA	1h6	-1	4	1	ne'er	NN	L+H*	n I r	1	L-L%	6	0.41337394611235806	0.0	0.35386513600391944	0.11831574564849752	0.11444517223522506
DATA	1h6	-1	4	1	lost	VBD	L+H*	l O s t	1	L-L%	6	0.2557394786221685	0.0	0.43517358429018754	0.22552425008419602	0.08356268700344793
DATA	1h6	-1	4	1	a	DT	null	@	0	L-L%	6	0.16502984680124944	0.0	0.6235317887944879	0.13819096928113825	0.07324739512312439
DATA	1h6	-1	4	1	king	NN	L+H*	k I N	1	L-L%	6	0.12815167125364532	0.0	0.4976359951582756	0.19700486998919897	0.17720746359888018
DATA	1h6	-1	4	1	of	IN	null	V v	1	L-L%	6	0.17319262314834652	0.0	0.43323648148444366	0.19917651038639544	0.1943943849808143
DATA	1h6	-1	4	1	so	RB	null	s @U	1	L-L%	6	0.23563175744170967	0.0	0.3357880051016113	0.16339641411381553	0.26518382334286345
DATA	1h6	-1	4	1	much	JJ	L+H*	m V tS	1	L-L%	6	0.09025248444688035	0.0	0.28492198540946106	0.21372771820767947	0.41109781193597905
DATA	1h6	-1	4	1	worth	NN	!H*	w r= T	1	L-L%	6	0.06276968013905909	0.0	0.07470244958692698	0.16451712824705877	0.6980107420269551
DATA	1h6	-1	4	1	.	.	null	null	null	L-L%	6	0.06310698919069721	0.0	0.12268063612118708	0.2729304625144509	0.5412819121736647
DATA	1h6	-1	1	1	England	NNP	L+H*	I N	1	L-L%	5	0.05976790538429539	0.0	0.14911606335483643	0.5501084843223298	0.24100754693853824
DATA	1h6	-1	1	1	England	NNP	L+H*	g l @ n d	0	L-L%	5	0.13189139175263437	0.0	0.15042546518897262	0.468640569257328	0.249042573801065
DATA	1h6	-1	1	1	ne'er	NN	L+H*	n I r	1	L-L%	5	0.15998595124631698	0.0	0.17253970094402798	0.466642035312254	0.20083231249740102
DATA	1h6	-1	1	1	had	VBD	L+H*	h { d	1	L-L%	5	0.1612403219719039	0.0	0.30578871609799235	0.38876437745339815	0.14420658447670573
DATA	1h6	-1	1	1	a	DT	null	@	0	L-L%	5	0.16576292135585402	0.0	0.42257096816347484	0.28879808470893015	0.12286802577174091
DATA	1h6	-1	1	1	king	NN	L+H*	k I N	1	L-L%	5	0.19283116752872764	0.0	0.3566649724776769	0.3383299648123684	0.11217389518122699
DATA	1h6	-1	1	1	until	IN	null	@ n	0	L-L%	5	0.16138047359814298	0.0	0.3478696846781155	0.3732586067533823	0.11749123497035917
DATA	1h6	-1	1	1	until	IN	null	t I l	1	L-L%	5	0.13316546632992826	0.0	0.3931010194243032	0.3690774181070015	0.10465609613876693
DATA	1h6	-1	1	1	his	PRP$	null	h I z	1	L-L%	5	0.13376724729635944	0.0	0.4952921046529319	0.3225957083925688	0.04834493965813995
DATA	1h6	-1	1	1	time	NN	!H*	t AI m	1	L-L%	5	0.12617431303871418	0.0	0.49871087096939054	0.33322320081353335	0.04189161517836189
DATA	1h6	-1	1	1	.	.	null	null	null	L-L%	5	0.2434288080408016	0.0	0.42131378769623046	0.2688791283005424	0.06637827596242571
DATA	1h6	-1	2	1	Virtue	NNP	L+H*	v r=	1	H-L%	4	0.19579753564192792	0.0	0.42858861959665034	0.26423741697856673	0.11137642778285507
DATA	1h6	-1	2	1	Virtue	NNP	L+H*	tS u	0	H-L%	4	0.20992420201254827	0.0	0.3552832752664453	0.3185580547549423	0.11623446796606414
DATA	1h6	-1	2	1	he	PRP	null	h i	1	H-L%	4	0.13870655284290398	0.0	0.34875394227272466	0.40265004983368385	0.10988945505068752
DATA	1h6	-1	2	1	had	VBD	L+H*	h { d	1	H-L%	4	0.09790829575272865	0.0	0.2789529005859493	0.45664309999332164	0.16649570366800057
DATA	1h6	-1	2	1	,	,	null	null	null	H-L%	4	0.15480131424179056	0.0	0.23912107675537314	0.36203683435037237	0.24404077465246396
DATA	1h6	-1	2	2	deserving	VBG	L+H*	d I	0	H-L%	4	0.1885711277453964	0.0	0.25452458940916634	0.326017486551746	0.23088679629369135
DATA	1h6	-1	2	2	deserving	VBG	L+H*	z r=	1	H-L%	4	0.20475688026578542	0.0	0.3035794589945251	0.2835523279408801	0.20811133279880933
DATA	1h6	-1	2	2	deserving	VBG	L+H*	v I N	0	H-L%	4	0.15109696726101532	0.0	0.3287593905663867	0.35633110359553055	0.16381253857706746
DATA	1h6	-1	2	2	to	TO	null	t u	1	H-L%	4	0.1370751463117896	0.0	0.36583042739851596	0.29746898535007893	0.19962544093961554
DATA	1h6	-1	2	2	command	VB	L+H*	k @	0	H-L%	4	0.2274713755801043	0.0	0.2807941807326006	0.2655576685792251	0.22617677510806997
DATA	1h6	-1	2	2	command	VB	L+H*	m { n d	1	H-L%	4	0.1720393828936252	0.0	0.3471326264484083	0.2487049236226623	0.2321230670353042
DATA	1h6	-1	2	2	:	:	null	null	null	H-L%	4	0.15063997515498181	0.0	0.3581515336801969	0.22311588591095807	0.26809260525386325
DATA	1h6	-1	2	3	His	PRP$	null	h I z	1	H-L%	4	0.11026874281206953	0.0	0.27793702036371476	0.27849444256208483	0.33329979426213086
DATA	1h6	-1	2	3	brandished	JJ	L+H*	b r { n	1	H-L%	4	0.10631737198810282	0.0	0.35755717794142283	0.2683905988408789	0.26773485122959545
DATA	1h6	-1	2	3	brandished	JJ	L+H*	d I S t	0	H-L%	4	0.1425939616463015	0.0	0.3482329514397534	0.23971563936769005	0.269457447546255
DATA	1h6	-1	2	3	sword	NN	L+H*	s O r d	1	H-L%	4	0.1552754324118178	0.0	0.3814006738445711	0.2014875152259765	0.2618363785176346
DATA	1h6	-1	2	3	did	VBD	L+H*	d I d	1	H-L%	4	0.23099997863520438	0.0	0.37025338834453597	0.19301999095672764	0.20572664206353192
DATA	1h6	-1	2	3	blind	JJ	L+H*	b l AI n d	1	H-L%	4	0.285038327109283	0.0	0.34050594720607025	0.18652168374448885	0.18793404194015798
DATA	1h6	-1	2	3	men	NNS	L+H*	m E n	1	H-L%	4	0.35451146865255984	0.0	0.2895020673885621	0.18017579788115984	0.17581066607771836
DATA	1h6	-1	2	3	with	IN	null	w I D	1	H-L%	4	0.30047602045490857	0.0	0.2391167320083384	0.23442302586392774	0.22598422167282525
DATA	1h6	-1	2	3	his	PRP$	null	h I z	1	H-L%	4	0.27440396460279537	0.0	0.21061638908463773	0.2136278732982811	0.3013517730142858
DATA	1h6	-1	2	3	beams	NNS	L+H*	b i m z	1	H-L%	4	0.27042694083591684	0.0	0.2813709075659842	0.22625039164211633	0.22195175995598249
DATA	1h6	-1	2	3	:	:	null	null	null	H-L%	4	0.21533435821551358	0.0	0.3354858728916918	0.25451935307631096	0.19466041581648372
DATA	1h6	-1	2	4	His	PRP$	null	h I z	1	H-L%	4	0.20055029483778314	0.0	0.2593628633956223	0.3359755885615238	0.20411125320507076
DATA	1h6	-1	2	4	arms	NNS	L+H*	A r m z	1	H-L%	4	0.21612795476474767	0.0	0.2573677733314191	0.28684416063052853	0.23966011127330464
DATA	1h6	-1	2	4	spread	VBD	L+H*	s	0	H-L%	4	0.2608125067081123	0.0	0.21338121492700282	0.21230749335420224	0.31349878501068257
DATA	1h6	-1	2	4	spread	VBD	L+H*	p r E d	1	H-L%	4	0.26162384639389874	0.0	0.19709232015857744	0.21138196833649914	0.32990186511102465
DATA	1h6	-1	2	4	wider	JJR	L+H*	w AI	1	H-L%	4	0.2538271117920944	0.0	0.21796875461255244	0.1548735920366531	0.3733305415587001
DATA	1h6	-1	2	4	wider	JJR	L+H*	d r=	0	H-L%	4	0.27411651298460243	0.0	0.2551386174589263	0.1720667866520996	0.29867808290437176
DATA	1h6	-1	2	4	than	IN	null	D { n	1	H-L%	4	0.2086333563433304	0.0	0.31458368521491764	0.21621580664912443	0.2605671517926275
DATA	1h6	-1	2	4	a	DT	null	@	0	H-L%	4	0.23528514536891995	0.0	0.2537901234621341	0.2689640204721239	0.24196071069682215
DATA	1h6	-1	2	4	dragon's	NN	L+H*	d r {	1	H-L%	4	0.3353452966739811	0.0	0.2784875714973798	0.20241684326975495	0.18375028855888403
DATA	1h6	-1	2	4	dragon's	NN	L+H*	g @ n	0	H-L%	4	0.2935404222765273	0.0	0.3339777625224887	0.1911355526838411	0.18134626251714295
DATA	1h6	-1	2	4	dragon's	POS	null	z	0	H-L%	4	0.31815024460011737	0.0	0.27601331531519796	0.16718133456556253	0.23865510551912217
DATA	1h6	-1	2	4	wings	NNS	L+H*	w I N z	1	H-L%	4	0.32420744789559314	0.0	0.2585560567662752	0.1778019063424715	0.23943458899566009
DATA	1h6	-1	2	4	;	:	null	null	null	H-L%	4	0.5401589463453109	0.0	0.18477746126096004	0.10809969894702254	0.16696389344670662
DATA	1h6	-1	2	5	His	PRP$	null	h I z	1	H-L%	4	0.4943379162956527	0.0	0.18292342376657483	0.11639964890714825	0.20633901103062433
DATA	1h6	-1	2	5	sparkling	JJ	L+H*	s	0	H-L%	4	0.29722222989192126	0.0	0.21354849769243836	0.16767032717185495	0.32155894524378525
DATA	1h6	-1	2	5	sparkling	JJ	L+H*	p A r	1	H-L%	4	0.16004514114558094	0.0	0.23797824282544672	0.21913373113270704	0.3828428848962653
DATA	1h6	-1	2	5	sparkling	JJ	L+H*	k l I N	0	H-L%	4	0.182153088019584	0.0	0.20000942572734765	0.20457220142244578	0.4132652848306227
DATA	1h6	-1	2	5	eyes	NNS	L+H*	AI z	1	H-L%	4	0.3338649549707745	0.0	0.219843030819036	0.22554761434296455	0.22074439986722494
DATA	1h6	-1	2	5	,	,	null	null	null	H-L%	4	0.2478798576755895	0.0	0.17418526546752183	0.3976461978657475	0.18028867899114118
DATA	1h6	-1	2	6	replete	JJ	L+H*	r i	0	H-L%	4	0.18586645496861365	0.0	0.12176858940937049	0.577767704681667	0.11459725094034887
DATA	1h6	-1	2	6	replete	JJ	L+H*	p l i t	1	H-L%	4	0.3679007485178483	0.0	0.19734795499218552	0.3025297610947127	0.13222153539525347
DATA	1h6	-1	2	6	with	IN	null	w I D	1	H-L%	4	0.24457787546644044	0.0	0.40311566522093545	0.1967766385733666	0.15552982073925747
DATA	1h6	-1	2	6	wrathful	JJ	L+H*	r { T	1	H-L%	4	0.29889069536923163	0.0	0.2529241294708207	0.16066185014456835	0.2875233250153793
DATA	1h6	-1	2	6	wrathful	JJ	L+H*	f @ l	0	H-L%	4	0.3291267317863255	0.0	0.20083422822415137	0.26807613758443516	0.20196290240508788
DATA	1h6	-1	2	6	fire	NN	L+H*	f AI	1	H-L%	4	0.3765823052244507	0.0	0.13196598029187318	0.11339446095315482	0.37805725353052133
DATA	1h6	-1	2	6	fire	NN	L+H*	r=	0	H-L%	4	0.1455762060616005	0.0	0.0935884379114095	0.07719152565658681	0.6836438303704032
DATA	1h6	-1	2	6	,	,	null	null	null	H-L%	4	0.27351753438593374	0.0	0.18838184599016194	0.07000546908211529	0.46809515054178885
DATA	1h6	-1	2	7	More	JJR	L+H*	m O r	1	L-L%	5	0.21853297952258757	0.0	0.09795949294398723	0.07632528114022794	0.6071822463931973
DATA	1h6	-1	2	7	dazzled	JJ	L+H*	d {	1	L-L%	5	0.31126845087370975	0.0	0.15195807935356742	0.13512405608850983	0.40164941368421303
DATA	1h6	-1	2	7	dazzled	JJ	L+H*	z @ l d	0	L-L%	5	0.40250085970010047	0.0	0.16661210196050014	0.08354641108239962	0.3473406272569998
DATA	1h6	-1	2	7	and	CC	null	{ n d	1	L-L%	5	0.3890786318638535	0.0	0.33079086236068833	0.11740159447998678	0.16272891129547146
DATA	1h6	-1	2	7	drove	VBD	L+H*	d r @U v	1	L-L%	5	0.41767993833625683	0.0	0.2819154384614745	0.2064926635799513	0.09391195962231716
DATA	1h6	-1	2	7	back	RB	null	b { k	1	L-L%	5	0.5071689551048577	0.0	0.1706974158632858	0.2810850378715092	0.04104859116034727
DATA	1h6	-1	2	7	his	PRP$	null	h I z	1	L-L%	5	0.5139897644297244	0.0	0.20812735602884738	0.22375318465720398	0.05412969488422431
DATA	1h6	-1	2	7	enemies	NNS	L+H*	E	1	L-L%	5	0.3407048585682893	0.0	0.2109622272286414	0.37764240439579977	0.07069050980726957
DATA	1h6	-1	2	7	enemies	NNS	L+H*	n @	0	L-L%	5	0.31069672785441066	0.0	0.16524173089553307	0.4441289416833178	0.07993259956673844
DATA	1h6	-1	2	7	enemies	NNS	L+H*	m i z	0	L-L%	5	0.2746460991301434	0.0	0.16915765079919654	0.48320616313806486	0.0729900869325953
DATA	1h6	-1	2	7	Than	IN	null	D { n	1	L-L%	5	0.3385248602042469	0.0	0.13097660646275688	0.329812612322422	0.20068592101057425
DATA	1h6	-1	2	7	midday	NN	L+H*	m I d	1	L-L%	5	0.44538117039548125	0.0	0.1977545647471343	0.22830660306746395	0.12855766178992034
DATA	1h6	-1	2	7	midday	NN	L+H*	d EI	0	L-L%	5	0.4481063385478212	0.0	0.30839030350797614	0.18344084128914617	0.060062516655056374
DATA	1h6	-1	2	7	sun	NN	L+H*	s V n	1	L-L%	5	0.5115802997056648	0.0	0.320360645062993	0.13348888393013814	0.03457017130120408
DATA	1h6	-1	2	7	fierce	JJ	L+H*	f I r s	1	L-L%	5	0.5355186983669061	0.0	0.24984252540613275	0.1650459200683905	0.049592856158570606
DATA	1h6	-1	2	7	bent	NN	L+H*	b E n t	1	L-L%	5	0.571401060918555	0.0	0.16483083870003315	0.21582654044097993	0.047941559940431734
DATA	1h6	-1	2	7	against	IN	null	@	0	L-L%	5	0.44618030675812004	0.0	0.29280100385236263	0.20101867273773202	0.06000001665178531
DATA	1h6	-1	2	7	against	IN	null	g E n s t	1	L-L%	5	0.4592331580808665	0.0	0.16808623994111377	0.29169277336857913	0.0809878286094407
DATA	1h6	-1	2	7	their	PRP$	null	D E r	1	L-L%	5	0.2670271322378396	0.0	0.10551813046408924	0.293446783345507	0.3340079539525641
DATA	1h6	-1	2	7	faces	NNS	!H*	f EI	1	L-L%	5	0.2150523851139799	0.0	0.07281135484325023	0.27830030735932987	0.4338359526834401
DATA	1h6	-1	2	7	faces	NNS	!H*	s @ z	0	L-L%	5	0.25163790283405674	0.0	0.15211943942863018	0.22288644765217097	0.37335621008514214
DATA	1h6	-1	2	7	.	.	null	null	null	L-L%	5	0.2958039480697488	0.0	0.22012649349325766	0.18669820195185857	0.29737135648513485
DATA	1h6	-1	3	1	What	WP	null	w V t	1	H-L%	4	0.2320664346409775	0.0	0.34306415098530124	0.21676151394440293	0.20810790042931826
DATA	1h6	-1	3	1	should	MD	null	S U d	1	H-L%	4	0.2718728763626989	0.0	0.24186603492995062	0.3275033737010835	0.15875771500626698
DATA	1h6	-1	3	1	I	PRP	null	AI	1	H-L%	4	0.2563131977602447	0.0	0.2599428998226039	0.3416611813946062	0.14208272102254527
DATA	1h6	-1	3	1	say	VB	L+H*	s EI	1	H-L%	4	0.22300484092955744	0.0	0.2778095434591797	0.3570837309498712	0.14210188466139173
DATA	1h6	-1	3	1	?	.	null	null	null	H-L%	4	0.2246346354511983	0.0	0.27862932396859663	0.30174114847008104	0.19499489211012405
DATA	1h6	-1	3	2	his	PRP$	null	h I z	1	H-L%	4	0.26288829871611413	0.0	0.3137282115384723	0.22525934579868656	0.19812414394672698
DATA	1h6	-1	3	2	deeds	NNS	L+H*	d i d z	1	H-L%	4	0.27650745488340295	0.0	0.27970038030378536	0.26858927062742577	0.17520289418538584
DATA	1h6	-1	3	2	exceed	VBP	null	I k	0	H-L%	4	0.22872143854878824	0.0	0.2996165263905303	0.29503658889763973	0.17662544616304174
DATA	1h6	-1	3	2	exceed	VBP	null	s i d	1	H-L%	4	0.22039634806963534	0.0	0.2630141023785552	0.3403017042032794	0.1762878453485301
DATA	1h6	-1	3	2	all	DT	null	O l	1	H-L%	4	0.25039965380541224	0.0	0.27297775412677283	0.28795119483373693	0.18867139723407783
