tableName	tei_paragraph_id	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index	1h4	1h6	2h6	3h6	he8
he8	-1	1	1	Good	JJ	L+H*	g U d	1	H-L%	4	0	0	0	0	0
he8	-1	1	1	morrow	NN	L+H*	m A	1	H-L%	4	0	0	0	0	0
he8	-1	1	1	morrow	NN	L+H*	r @U	0	H-L%	4	0	0	0	0	0
he8	-1	1	1	","	","	null	null	null	H-L%	4	0	0	0	0	0
he8	-1	1	2	and	CC	null	{ n d	1	L-L%	5	0	0	0	0	0
he8	-1	1	2	well	RB	null	w E l	1	L-L%	5	0	0	0	0	0
he8	-1	1	2	met	VBN	!H*	m E t	1	L-L%	5	0	0	0	0	0
he8	-1	1	2	.	.	null	null	null	L-L%	5	0.41148024	0.414384514	0.416475863	0.416379475	0.388478625
he8	-1	2	1	How	WRB	null	h aU	1	L-L%	6	0.389013168	0.392959079	0.394714807	0.395504941	0.361721756
he8	-1	2	1	have	VBP	null	h { v	1	L-L%	6	0.347116206	0.35568875	0.356056974	0.357497886	0.316590552
he8	-1	2	1	ye	PRP	null	j i	1	L-L%	6	0.340974215	0.350748451	0.351128512	0.353679742	0.305470445
he8	-1	2	1	done	VBN	H*	d V n	1	L-L%	6	0.319411044	0.336829002	0.334246021	0.33631018	0.279831736
he8	-1	2	1	Since	IN	null	s I n s	1	L-L%	6	0.296917987	0.31369239	0.311222816	0.311916948	0.26077237
he8	-1	2	1	last	JJ	H*	l { s t	1	L-L%	6	0.314996845	0.327217556	0.327254519	0.326950403	0.28421753
he8	-1	2	1	we	PRP	null	w i	1	L-L%	6	0.352692665	0.35904995	0.36203547	0.361207675	0.326916344
he8	-1	2	1	saw	VBD	H*	s O	1	L-L%	6	0.392975697	0.394913376	0.400447905	0.398798853	0.372340207
he8	-1	2	1	in	IN	null	I n	1	L-L%	6	0.423158133	0.422567133	0.429380876	0.426482866	0.406771256
he8	-1	2	1	France	NNP	H*	f r { n s	1	L-L%	6	0.441649319	0.436130217	0.445773314	0.442729571	0.43074385
he8	-1	2	1	?	.	null	null	null	L-L%	6	0.468058128	0.460426248	0.470354838	0.466466486	0.461577053
he8	-1	1	1	I	PRP	null	AI	1	H-L%	4	0.502058502	0.490661917	0.500258424	0.49515603	0.501572549
he8	-1	1	1	thank	VBP	null	T { N k	1	H-L%	4	0.519354064	0.502112911	0.513558675	0.508612551	0.525018418
he8	-1	1	1	your	PRP$	null	j O r	1	H-L%	4	0.53842113	0.516882187	0.529633858	0.526137525	0.541570959
he8	-1	1	1	grace	NN	L+H*	g r EI s	1	H-L%	4	0.541018038	0.519553873	0.531941843	0.529738425	0.541188502
he8	-1	1	1	","	","	null	null	null	H-L%	4	0.551484652	0.529016232	0.540359039	0.538968465	0.549771154
he8	-1	1	2	Healthful	JJ	L+H*	h E l	1	H-L%	4	0.558657462	0.536993755	0.547699353	0.547507351	0.553931878
he8	-1	1	2	Healthful	JJ	L+H*	T f @ l	0	H-L%	4	0.572047005	0.54945184	0.558978936	0.559198844	0.565863024
he8	-1	1	2	;	:	null	null	null	H-L%	4	0.593941485	0.575893198	0.582681077	0.582599812	0.584066126
he8	-1	1	3	and	CC	null	{ n d	1	L-L%	5	0.53804581	0.532195743	0.532487246	0.532192336	0.52072108
he8	-1	1	3	ever	RB	null	E	1	L-L%	5	0.502289474	0.505577971	0.501337488	0.501050733	0.476730705
he8	-1	1	3	ever	RB	null	v r=	0	L-L%	5	0.453685271	0.466844689	0.456978386	0.455868643	0.42144268
he8	-1	1	3	since	IN	null	s I n s	1	L-L%	5	0.430776859	0.446989246	0.435573069	0.436485291	0.391144256
he8	-1	1	3	a	DT	null	@	0	L-L%	5	0.420577683	0.442361208	0.42786302	0.429239394	0.37274587
he8	-1	1	3	fresh	JJ	L+H*	f r E S	1	L-L%	5	0.40520724	0.428542168	0.41366621	0.416504839	0.350472054
he8	-1	1	3	admirer	NN	L+H*	{ d	0	L-L%	5	0.387117191	0.412189915	0.397191008	0.401659211	0.325030317
he8	-1	1	3	admirer	NN	L+H*	m AI	1	L-L%	5	0.386843962	0.416504548	0.399329177	0.404211303	0.316624711
he8	-1	1	3	admirer	NN	L+H*	r r=	0	L-L%	5	0.371020037	0.400110925	0.38323847	0.387845954	0.302717893
he8	-1	1	3	Of	IN	null	V v	1	L-L%	5	0.390578807	0.414957837	0.401171777	0.404869547	0.329102969
he8	-1	1	3	what	WP	null	w V t	1	L-L%	5	0.412922921	0.432368062	0.421460512	0.424553893	0.358164532
he8	-1	1	3	I	PRP	null	AI	1	L-L%	5	0.436944685	0.450631822	0.44300438	0.445549171	0.389369528
he8	-1	1	3	saw	VBD	!H*	s O	1	L-L%	5	0.463661862	0.471945981	0.467128807	0.469206959	0.423338968
he8	-1	1	3	there	RB	null	D E r	1	L-L%	5	0.492581647	0.49488434	0.493161837	0.494423907	0.459771657
he8	-1	1	3	.	.	null	null	null	L-L%	5	0.518549714	0.515512948	0.516670822	0.517565022	0.493236045
he8	-1	1	1	An	DT	null	{ n	1	H-L%	4	0.545719029	0.537001911	0.541106106	0.541082918	0.527792874
he8	-1	1	1	untimely	RB	null	@ n	0	H-L%	4	0.601589802	0.580374882	0.591107599	0.591170578	0.591015018
he8	-1	1	1	untimely	RB	null	t AI	1	H-L%	4	0.61861249	0.591833925	0.60452764	0.602172328	0.61773326
he8	-1	1	1	untimely	RB	null	m l i	0	H-L%	4	0.652599899	0.621184751	0.635343674	0.629516291	0.659931165
he8	-1	1	1	ague	JJ	L+H*	A g	1	H-L%	4	0.667946674	0.634819307	0.648419793	0.638582252	0.684679777
he8	-1	1	1	Stayed	NNP	L+H*	s	0	H-L%	4	0.709967229	0.671803451	0.686051497	0.672358417	0.736864343
he8	-1	1	1	Stayed	NNP	L+H*	t EI d	1	H-L%	4	0.753542216	0.70775392	0.724960328	0.708795525	0.789338807
he8	-1	1	1	me	PRP	null	m i	1	H-L%	4	0.821448643	0.766652808	0.787366129	0.769116656	0.866737776
he8	-1	1	1	a	DT	null	@	0	H-L%	4	0.816133233	0.765063286	0.783631941	0.764078276	0.860877028
he8	-1	1	1	prisoner	NN	L+H*	p r I	1	H-L%	4	0.810904316	0.763585568	0.780150042	0.759004884	0.855467706
he8	-1	1	1	prisoner	NN	L+H*	z @	0	H-L%	4	0.807590131	0.760823662	0.777280439	0.756296235	0.852089444
he8	-1	1	1	prisoner	NN	L+H*	n r=	0	H-L%	4	0.826373395	0.777181296	0.795507334	0.774684786	0.87022233
he8	-1	1	1	in	IN	null	I n	1	H-L%	4	0.825386251	0.77587692	0.79416951	0.773448438	0.868956182
he8	-1	1	1	my	PRP$	null	m AI	1	H-L%	4	0.857219307	0.800919425	0.823059909	0.803486159	0.901159409
he8	-1	1	1	chamber	NN	L+H*	tS EI m	1	H-L%	4	0.863976818	0.806697817	0.828939137	0.808759328	0.908701041
he8	-1	1	1	chamber	NN	L+H*	b r=	0	H-L%	4	0.838861596	0.788411984	0.806411601	0.784343551	0.883637618
