tei_section_id	tei_node_id	tei_node_type	sentence_id	phrase_id	word	part_of_speech	accent	phoneme	stress	tone	break_index	bonduca	1h4	1h6	2h6	3h6	he8
4000000229	5000000236	sp	1	1	the	DT		D @	0	H-H%	5	0	0	0	0	0	0
4000000229	5000000236	sp	1	1	hardy	JJ	H*	h A r	1	H-H%	5	0	0	0	0	0	0
4000000229	5000000236	sp	1	1	hardy	JJ	H*	d i	0	H-H%	5	0	0	0	0	0	0
4000000229	5000000236	sp	1	1	Romanes	NNS	L*	r @U	1	H-H%	5	0	0	0	0	0	0
4000000229	5000000236	sp	1	1	Romanes	NNS	L*	m EI n z	0	H-H%	5	0	0.11544	0.10968	0.16810	0.18933	0.41745
4000000229	5000000236	sp	1	1	?	.				H-H%	5	0	0.09901	0.10081	0.40703	0.19355	0.19960
4000000229	5000000236	sp	2	1	O	UH	H*	@U	1	H-L%	4	0	0.05246	0.07010	0.52418	0.19536	0.15790
4000000229	5000000236	sp	2	1	ye	PRP		j i	1	H-L%	4	0	0.05889	0.05985	0.45484	0.20882	0.21759
4000000229	5000000236	sp	2	1	gods	NNS	H*	g A d z	1	H-L%	4	0	0.12828	0.12484	0.34662	0.15400	0.24625
4000000229	5000000236	sp	2	1	of	IN		V v	1	H-L%	4	0	0.16115	0.29844	0.24786	0.14606	0.14649
4000000229	5000000236	sp	2	1	Britain	NNP	H*	b r I	1	H-L%	4	0	0.12449	0.29466	0.26104	0.16776	0.15204
4000000229	5000000236	sp	2	1	Britain	NNP	H*	t @ n	0	H-L%	4	0	0.12483	0.21817	0.20829	0.19101	0.25770
4000000229	5000000236	sp	2	1	,	,				H-L%	4	0	0.10051	0.27937	0.15943	0.14177	0.31892
4000000229	5000000236	sp	2	2	the	DT		D @	0	H-L%	4	0	0.11243	0.17563	0.14589	0.16165	0.40439
4000000229	5000000236	sp	2	2	rust	NN	H*	r V s t	1	H-L%	4	0	0.10811	0.18729	0.30765	0.14801	0.24894
4000000229	5000000236	sp	2	2	of	IN		V v	1	H-L%	4	0	0.11039	0.19625	0.28025	0.24423	0.16888
4000000229	5000000236	sp	2	2	arms	NNS	H*	A r m z	1	H-L%	4	0	0.09118	0.14651	0.29788	0.38109	0.08333
4000000229	5000000236	sp	2	2	,	,				H-L%	4	0	0.13858	0.07462	0.42003	0.32631	0.04046
4000000229	5000000236	sp	2	3	the	DT		D @	0	H-L%	4	0	0.16533	0.08937	0.33386	0.35846	0.05298
4000000229	5000000236	sp	2	3	blushing	VBG	H*	b l V	1	H-L%	4	0	0.30040	0.11601	0.30123	0.18795	0.09439
4000000229	5000000236	sp	2	3	blushing	VBG	H*	S I N	0	H-L%	4	0	0.18445	0.11166	0.19308	0.39603	0.11477
4000000229	5000000236	sp	2	3	shame	NN	H*	S EI m	1	H-L%	4	0	0.29588	0.09531	0.15793	0.26650	0.18438
4000000229	5000000236	sp	2	3	of	IN		V v	1	H-L%	4	0	0.30226	0.10254	0.14436	0.21070	0.24014
4000000229	5000000236	sp	2	3	souldiers	NNS	H*	s @U l	1	H-L%	4	0	0.16691	0.17149	0.14688	0.32884	0.18588
4000000229	5000000236	sp	2	3	souldiers	NNS	H*	d i	0	H-L%	4	0	0.10248	0.21134	0.06925	0.49485	0.12208
4000000229	5000000236	sp	2	3	souldiers	NNS	H*	r= z	0	H-L%	4	0	0.09987	0.21103	0.08716	0.40813	0.19381
4000000229	5000000236	sp	2	3	;	:				H-L%	4	0	0.11735	0.09323	0.14893	0.44533	0.19515
4000000229	5000000236	sp	2	4	are	VBP		A r	1	H-H%	5	0	0.19258	0.08878	0.26103	0.31377	0.14384
4000000229	5000000236	sp	2	4	these	DT		D i z	1	H-H%	5	0	0.15521	0.03812	0.21885	0.15869	0.42913
4000000229	5000000236	sp	2	4	the	DT		D @	0	H-H%	5	0	0.06458	0.03734	0.13903	0.11367	0.64538
4000000229	5000000236	sp	2	4	men	NNS	H*	m E n	1	H-H%	5	0	0.19088	0.04050	0.14710	0.09918	0.52234
4000000229	5000000236	sp	2	4	that	IN		D { t	1	H-H%	5	0	0.33645	0.02048	0.37691	0.10998	0.15619
4000000229	5000000236	sp	2	4	conquer	NN	H*	k A N	1	H-H%	5	0	0.16708	0.06132	0.26765	0.32280	0.18115
4000000229	5000000236	sp	2	4	conquer	NN	H*	k r=	0	H-H%	5	0	0.04413	0.16877	0.33133	0.39887	0.05690
4000000229	5000000236	sp	2	4	by	IN		b AI	1	H-H%	5	0	0.12055	0.30762	0.10169	0.35287	0.11727
4000000229	5000000236	sp	2	4	inheritance	NN	L*	I n	0	H-H%	5	0	0.10197	0.42141	0.06268	0.10807	0.30586
4000000229	5000000236	sp	2	4	inheritance	NN	L*	h E	1	H-H%	5	0	0.12590	0.55309	0.07604	0.12500	0.11996
4000000229	5000000236	sp	2	4	inheritance	NN	L*	r @	0	H-H%	5	0	0.04435	0.21720	0.37122	0.18515	0.18208
4000000229	5000000236	sp	2	4	inheritance	NN	L*	t @ n s	0	H-H%	5	0	0.05458	0.02640	0.40452	0.40058	0.11393
4000000229	5000000236	sp	2	4	?	.				H-H%	5	0	0.09484	0.01581	0.06749	0.79122	0.03063
4000000229	5000000236	sp	3	1	The	DT		D @	0	H-H%	5	0	0.13988	0.03425	0.02333	0.73232	0.07022
4000000229	5000000236	sp	3	1	fortune-makers	NN	H*	f O r	1	H-H%	5	0	0.06956	0.04138	0.03965	0.77183	0.07759
